Name	STA Path Delay Value	SPICE Path Delay Value	Error	Relative Error(%)
./work/sta_path_result/opensta_AND2X1_slew0.1_load0.log	4.92e-09	6.0480247002514e-09	-1.1280247002514e-09	-22.9273313059227
./work/sta_path_result/opensta_AND2X1_slew0.1_load1.log	7.95e-09	9.1359528002514e-09	-1.1859528002514e-09	-14.9176452861811
./work/sta_path_result/opensta_AND2X1_slew0.5_load0.log	4.88e-09	6.0729894003562e-09	-1.1929894003562e-09	-24.4465041056598
./work/sta_path_result/opensta_AND2X1_slew0.5_load1.log	7.91e-09	9.105010200355e-09	-1.195010200355e-09	-15.107587867952
./work/sta_path_result/opensta_AND2X1_slew1.2_load0.log	4.82e-09	5.9650113002905e-09	-1.1450113002905e-09	-23.7554211678527
./work/sta_path_result/opensta_AND2X1_slew1.2_load1.log	7.84e-09	8.9330029003119e-09	-1.0930029003119e-09	-13.9413635243865
./work/sta_path_result/opensta_AND2X1_slew3_load0.log	5.27e-09	4.9690089002604e-09	3.009910997396e-10	5.71140606716508
./work/sta_path_result/opensta_AND2X1_slew3_load1.log	7.29e-09	6.9900181002575e-09	2.99981899742501e-10	4.11497804859397
./work/sta_path_result/opensta_AND2X2_slew0.02_load0.log	3.26e-09	3.0390079001497e-09	2.209920998503e-10	6.7788987684141
./work/sta_path_result/opensta_AND2X2_slew0.02_load1.log	5.2e-09	4.5509682001497e-09	6.490317998503e-10	12.4813807663519
./work/sta_path_result/opensta_AND2X2_slew0.04_load0.log	3.26e-09	3.0390176001695e-09	2.209823998305e-10	6.77860122179447
./work/sta_path_result/opensta_AND2X2_slew0.04_load1.log	5.19e-09	4.5620283001704e-09	6.27971699829601e-10	12.0996473955607
./work/sta_path_result/opensta_AND2X2_slew0.08_load0.log	3.25e-09	3.0319916002106e-09	2.180083997894e-10	6.70795076275078
./work/sta_path_result/opensta_AND2X2_slew0.08_load1.log	5.18e-09	4.5539864002121e-09	6.260135997879e-10	12.08520462911
./work/sta_path_result/opensta_AND2X2_slew0.2_load0.log	3.23e-09	3.039008400281e-09	1.90991599719e-10	5.91305262287926
